,Title,Brand,Rating_out_five,Rating,Price,Discount
0,Puma Unisex Palermo LTH Sneaker,Puma Sports India,46 ratings, 4.4 ,"6,999",0
1,Puma Unisex Smashic Sneaker,Puma Sports India,"1,614 ratings", 3.9 ,"2,019",-55%
2,Puma Unisex Pacer Marco Sneaker,Viraj Ent,3 ratings, 3.5 ,"2,699",-40%
3,Puma Unisex Smashic Sneaker,Puma Sports India,"1,614 ratings", 3.9 ,"2,019",-55%
4,Puma Men's Court Shatter Low Sneaker,Puma Sports India,232 ratings, 4.1 ,"2,699",-55%
5,Puma Mens Dazzler Sneaker,Cocoblu Retail,"6,662 ratings", 3.9 ,"1,584",-60%
6,Puma Men's Shuffle One8 V3 Better Sneaker,Sooperbuy Pvt Ltd,82 ratings, 3.7 ,"2,999",-54%
7,Puma Unisex Ferrari Drift Cat 8 Sneaker,Puma Sports India,"1,175 ratings", 4.0 ,"3,599",-55%
8,Puma Unisex MAPF1 Drift Cat Decima 2.0 Sneaker,Puma Sports India,11 ratings, 3.8 ,"2,639",-67%
9,Puma Unisex-Adult 1948 Mid L White-Black Sneaker - 3 UK (35916902),Puma Sports India,1 rating, 5.0 ,"1,999",-50%
10,Puma Unisex MAPF1 Neo Cat 2.0 Sneaker,Puma Sports India,95 ratings, 4.2 ,"2,099",-70%
11,Puma Mens Suede Classic Xxi Sneaker,Puma Sports India,498 ratings, 3.8 ,"3,359",-52%
12,Puma Unisex Road Rider SD Sneaker,Cocoblu Retail,22 ratings, 3.5 ,"4,000",-50%
13,Puma Unisex 9-T Sneaker,Cocoblu Retail,8 ratings, 4.5 ,"2,760",-54%
14,Puma Unisex R78 Res Sneaker,Puma Sports India,3 ratings, 4.6 ,"2,999",-50%
15,Puma Unisex-Adult Caven 2.0 VTG Sneaker,Cocoblu Retail,71 ratings, 4.2 ,"4,079",-49%
16,Puma Unisex CA Pro NBK Sneaker,Cocoblu Retail,3 ratings, 5.0 ,"5,099",-49%
17,Puma Unisex Hypnotic Sneaker,Puma Sports India,63 ratings, 4.2 ,"2,939",-58%
18,Puma mens Snatch V2 Sneaker,Cocoblu Retail,"3,256 ratings", 4.0 ,"1,659",-61%
19,Puma Unisex Palermo LTH Sneaker,Puma Sports India,46 ratings, 4.4 ,"6,999",0
20,ASIAN Men's TARZAN-11 Casual Sneaker Shoes with Synthetic Upper Lightweight Comfortable Mid Top Sneaker Shoes for Men's & Boy's,Asian Shoes,"2,448 ratings", 3.8 ,799,-47%
21,Cruiser Mens Atlas Casual Shoes|Trainers Comfortable Trendy Shoes|Classic Sneakers,Cocoblu Retail,78 ratings, 3.6 ,"1,079",-57%
22,Bacca Bucci Men's Running Shoe,Bacca bucci Shoes,"2,813 ratings", 3.8 ,"1,399",-44%
23,Hygear Mens Nyx Sneaker,Cocoblu Retail,7 ratings, 4.0 ,"1,159",-61%
24,Puma Men's Dexfly V1 Sneaker,Sooperbuy Pvt Ltd,128 ratings, 3.8 ,"1,999",-50%
25,Puma Unisex Park Lifestyle Sneaker,Cocoblu Retail,30 ratings, 4.2 ,"5,554",-21%
26,Puma Men's Trinity Sneaker,Sooperbuy Pvt Ltd,826 ratings, 4.0 ,"4,799",-40%
27,Puma Men's Court Shatter Low Sneaker,Puma Sports India,232 ratings, 4.1 ,"2,699",-55%
28,Bacca Bucci Balancer Men's Fashion Sneakers Lace-Up Trainers Basketball Style Walking Shoes,Bacca bucci Shoes,"1,120 ratings", 4.1 ,"1,499",-57%
29,Puma Mens Future Rider Play on Sneaker,Puma Sports India,151 ratings, 4.2 ,"5,399",-40%
30,Puma Unisex-Adult Up Sneaker,Cocoblu Retail,504 ratings, 4.1 ,"2,459",-39%
31,Puma Unisex Ferrari Drift Cat 8 Sneaker,Cocoblu Retail,"1,175 ratings", 4.0 ,"3,286",-59%
32,Puma Unisex-Adult Unisex Mapf1 Neo Cat Mid 2.0 Sneaker,Puma Sports India,21 ratings, 3.9 ,"2,399",-70%
33,Puma Unisex Ferrari R-Cat Machina Sneaker,Cocoblu Retail,99 ratings, 4.0 ,"2,999",-63%
34,Puma Unisex Graviton Pro Sneaker,Cocoblu Retail,460 ratings, 4.2 ,"2,939",-58%
35,Puma Unisex-Adult Electron E Res Sneaker,Puma Sports India,16 ratings, 3.9 ,"2,499",-50%
36,Puma Men's Shuffle Mid one8 Better V2 Sneaker,Puma Sports India,58 ratings, 3.9 ,"2,099",-70%
37,Puma Unisex Caven 2.0 Sneaker,Cocoblu Retail,"1,724 ratings", 4.3 ,"3,539",-41%
38,Puma Unisex-Adult Up Sneaker,NaN,504 ratings,5.0,"2,619.",0
39,Puma Unisex BMW MMS Caven 2.0 Sneaker,Sooperbuy Pvt Ltd,74 ratings, 4.5 ,"4,899",-30%
40,Puma Unisex SF Drift Cat 5 Ultra II Sneaker,Puma Sports India,"1,280 ratings", 3.9 ,"3,149",-55%
41,Puma Men's Melanite Sneaker,Puma Sports India,599 ratings, 4.1 ,"2,019",-55%
42,Puma Unisex Slipstream LTH Sneaker,Sooperbuy Pvt Ltd,35 ratings, 4.1 ,"5,399",-40%
43,Puma Unisex-Adult Ca Pro Classic Sneaker,Cocoblu Retail,5 ratings, 3.9 ,"3,840",-52%
44,Puma Unisex-Adult Suede Play.Paris. Sneaker,Cocoblu Retail,NaN,,"5,599",-30%
45,"Puma Unisex-Adult Graviton Alpine Snow-Oak Branch-Sand Dune Sneaker - 8 UK (38073861),Brown",NaN,3 ratings, 5.0 ,"1,187.",0
46,Puma Mens Shuffle Hydra Sneaker,Cocoblu Retail,NaN,,"3,519",-36%
47,Puma Men's Shuffle Zenfit Sneaker,Cocoblu Retail,17 ratings, 3.2 ,"3,009",-45%
48,Puma Unisex Smash v2 L Sneaker,Cocoblu Retail,28 ratings, 3.4 ,"2,500",-50%
49,Puma unisex-adult Smash v2 L Jr Closed shoe Puma Black-Puma Black 4 UK,Cocoblu Retail,263 ratings, 4.0 ,"1,464",-51%
50,Puma Unisex BMW MMS Neo Cat 2.0 Sneaker,Puma Sports India,46 ratings, 4.0 ,"2,799",-60%
51,Puma Unisex-Adult 365215 Sneaker,Cocoblu Retail,"7,999 ratings", 3.9 ,"2,629",-47%
52,Puma Unisex RBD Game Low Sneaker,Harkishanji,712 ratings, 4.4 ,"3,429",-51%
53,Puma Unisex MAPF1 ZenonSpeed Sneaker,Cocoblu Retail,38 ratings, 3.8 ,"4,100",-59%
54,Puma Unisex Park Lifestyle Street Sneaker,Cocoblu Retail,6 ratings, 4.0 ,"4,289",-34%
55,Puma Unisex-Adult R22 Sneaker,Cocoblu Retail,38 ratings, 4.2 ,"2,730",-61%
56,Puma Men's Kardio Sneaker,Cocoblu Retail,43 ratings, 4.2 ,"2,469",-45%
57,Puma Unisex-Adult Road Rider Pace Setter Sneaker,Cocoblu Retail,3 ratings, 4.6 ,"3,599",-40%
58,Puma Unisex-Adult X-ray Speed Sneaker,Cocoblu Retail,161 ratings, 4.1 ,"2,799",-60%
59,Puma Unisex Smash v2 Sneaker,Cocoblu Retail,"3,521 ratings", 4.1 ,"3,789",-31%
60,LUDIC Eclipse Vegan Suede Sneakers for Men Work and Play Business Casual Shoes,GOOD CHAOS LIFESTYLE PRIVATE LIMITED,9 ratings, 4.6 ,"1,599",-60%
61,Hygear Mens Calypso Sneaker,Cocoblu Retail,17 ratings, 3.6 ,"1,149",-62%
62,"PERF Men’s Black Sneakers - Stylish & Trendy Casual Shoes, PU Upper, TPR Sole, Super Comfortable Cushion Insole, Lightweight Walking Shoes",PERFITALIA,NaN,,"1,420",-25%
63,ATHCO Mens Wind Memory Foam Comfort Casual Sneaker Shoes|Laceup|Slip Resistant|Lightweight|Dailyuse|ExtraSoft,Cocoblu Retail,68 ratings, 4.5 ,599,-65%
64,YOHO Kite Men’s Stylish Versatile Breathable Slip-On Sneakers (SoS),Cocoblu Retail,100 ratings, 3.0 ,999,-60%
65,Hygear Mens Nyx Sneaker,Cocoblu Retail,7 ratings, 4.0 ,"1,159",-61%
66,Hygear Mens Isthmus Sneaker,Cocoblu Retail,35 ratings, 3.9 ,"1,289",-60%
67,Cruiser Mens Atlas Casual Shoes|Trainers Comfortable Trendy Shoes|Classic Sneakers,Cocoblu Retail,78 ratings, 3.6 ,"1,079",-57%
68,OFF LIMITS Men's Oxford Casual Sneakers,GLC-OL,4 ratings, 2.5 ,"1,499",-61%
69,Puma Mens Future Rider Play on Sneaker,Puma Sports India,151 ratings, 4.2 ,"5,399",-40%
70,Puma Unisex CA Pro Lux III Sneaker,Puma Sports India,4 ratings, 3.6 ,"5,999",-40%
71,Puma Unisex-Adult R78 Sneaker,Puma Sports India,62 ratings, 4.3 ,"2,699",-55%
72,Puma Unisex-Adult Ferrari Tune Cat Sneaker,Puma Sports India,6 ratings, 5.0 ,"3,439",-57%
73,Puma Unisex-Adult Cliff Sneaker,Puma Sports India,411 ratings, 4.1 ,"1,569",-55%
74,Puma Unisex-Adult Mapf1 Rs-x T Sneaker,Puma Sports India,1 rating, 4.0 ,"3,599",-70%
75,Puma Unisex Anzarun 2.0 Sneaker,Puma Sports India,23 ratings, 3.4 ,"3,009",-57%
76,Puma Unisex Anzarun Lite Walking Shoe,Sooperbuy Pvt Ltd,242 ratings, 4.3 ,"1,999",-50%
77,Puma Mens Snatch V2 Sneaker,Cocoblu Retail,NaN,,"1,654",-62%
78,Puma Men's Fire V2 Sneaker,Puma Sports India,34 ratings, 4.0 ,"1,809",-58%
79,Puma Unisex BMW MMS CA Pro Sneaker,Cocoblu Retail,2 ratings, 3.0 ,"4,859",-46%
80,Puma Unisex-Adult Future Rider Displaced Sneaker,Cocoblu Retail,54 ratings, 3.9 ,"3,600",-55%
81,Puma Unisex-Adult Hypnotic Ls Sneaker,Cocoblu Retail,81 ratings, 4.2 ,"3,080",-56%
82,Puma Unisex-Adult Shuffle Sneaker,Sooperbuy Pvt Ltd,"2,249 ratings", 4.3 ,"2,999",-40%
83,Puma Unisex-Adult Unisex BMW MMS Drift Cat Delta Sneaker,Puma Sports India,356 ratings, 3.9 ,"3,199",-60%
84,Puma Unisex Caven 2.0 Mid Sneaker,Cocoblu Retail,283 ratings, 4.5 ,"3,290",-53%
85,Cruiser Mens Blaze Casual Shoes Trainers Comfortable Trendy Shoes|Classic Sneakers,Cocoblu Retail,172 ratings, 3.6 ,899,-64%
86,ATHCO Mens Wind Memory Foam Comfort Casual Sneaker Shoes|Laceup|Slip Resistant|Lightweight|Dailyuse|ExtraSoft,Cocoblu Retail,68 ratings, 4.5 ,599,-65%
87,Hygear Mens Calypso Sneaker,Cocoblu Retail,17 ratings, 3.6 ,"1,149",-62%
88,Hygear Mens Nicholus Sneaker,Cocoblu Retail,2 ratings, 5.0 ,"1,349",-61%
89,Puma Unisex Seoul Sneaker,Cocoblu Retail,NaN,,"3,599",-55%
90,Puma Unisex Rickie Classic Sneaker,Cocoblu Retail,84 ratings, 4.5 ,"2,220",-63%
91,Puma Men's Radcliff Sneaker,Sport Collection1983,556 ratings, 3.8 ,"2,389",-47%
92,Puma Unisex-Adult Pl Caven 2.0 Turbo Sneaker,Cocoblu Retail,4 ratings, 4.5 ,"3,569",-49%
93,Puma Unisex CA Pro Crush Earth Sneaker,Cocoblu Retail,8 ratings, 4.3 ,"5,789",-47%
94,Puma Unisex-Adult Palermo Hairy Sneaker,Puma Sports India,1 rating, 5.0 ,"7,999",0
95,Puma Unisex-Adult Club 5v5 Sneaker,Cocoblu Retail,71 ratings, 4.2 ,"3,010",-57%
96,Puma Men's Momento Sneaker,Cocoblu Retail,3 ratings, 4.6 ,"3,522",-30%
97,Puma Unisex CA Pro OW Sneaker,Cocoblu Retail,3 ratings, 2.9 ,"5,424",-40%
98,Puma Unisex X-Ray 3 SD Sneaker,Cocoblu Retail,10 ratings, 4.0 ,"3,999",-50%
99,Puma Unisex rs-x Hi Sneaker,Puma Sports India,5 ratings, 3.1 ,"11,999",0
100,Puma Unisex BMW MS Drift Cat 5 Ultra Sneaker,Puma Sports India,270 ratings, 4.1 ,"4,899",-30%
101,Puma Unisex Smash V2 Buck Sneaker,Cocoblu Retail,58 ratings, 3.2 ,"2,250",-50%
102,Puma Unisex-Adult Club Ii Era Sneaker,Cocoblu Retail,161 ratings, 4.4 ,"3,024",-45%
103,U.S. POLO ASSN. Mens Stefan Sneaker,Cocoblu Retail,378 ratings, 4.3 ,"2,319",-42%
104,Puma Unisex-Adult Pacer + Sneaker,Puma Sports India,6 ratings, 3.0 ,"3,149",-55%
